LineId,EventTemplate,EventId
1,client <*> leave bssid <*>,188d7d34
27,client <*> leave bssid <*>,188d7d34
77,client <*> leave bssid <*>,188d7d34
108,client <*> leave bssid <*>,188d7d34
237,client <*> leave bssid <*>,188d7d34
247,client <*> leave bssid <*>,188d7d34
258,client <*> leave bssid <*>,188d7d34
290,client <*> leave bssid <*>,188d7d34
322,client <*> leave bssid <*>,188d7d34
369,client <*> leave bssid <*>,188d7d34
450,client <*> leave bssid <*>,188d7d34
484,client <*> leave bssid <*>,188d7d34
497,client <*> leave bssid <*>,188d7d34
560,client <*> leave bssid <*>,188d7d34
595,client <*> leave bssid <*>,188d7d34
630,client <*> leave bssid <*>,188d7d34
662,client <*> leave bssid <*>,188d7d34
850,client <*> leave bssid <*>,188d7d34
859,client <*> leave bssid <*>,188d7d34
906,client <*> leave bssid <*>,188d7d34
924,client <*> leave bssid <*>,188d7d34
935,client <*> leave bssid <*>,188d7d34
953,client <*> leave bssid <*>,188d7d34
995,client <*> leave bssid <*>,188d7d34
1130,client <*> leave bssid <*>,188d7d34
1179,client <*> leave bssid <*>,188d7d34
1218,client <*> leave bssid <*>,188d7d34
1220,client <*> leave bssid <*>,188d7d34
1332,client <*> leave bssid <*>,188d7d34
1388,client <*> leave bssid <*>,188d7d34
1423,client <*> leave bssid <*>,188d7d34
1450,client <*> leave bssid <*>,188d7d34
1558,client <*> leave bssid <*>,188d7d34
1572,client <*> leave bssid <*>,188d7d34
1581,client <*> leave bssid <*>,188d7d34
1606,client <*> leave bssid <*>,188d7d34
1692,client <*> leave bssid <*>,188d7d34
1731,client <*> leave bssid <*>,188d7d34
1827,client <*> leave bssid <*>,188d7d34
1899,client <*> leave bssid <*>,188d7d34
1955,client <*> leave bssid <*>,188d7d34
1973,client <*> leave bssid <*>,188d7d34
2072,client <*> leave bssid <*>,188d7d34
2087,client <*> leave bssid <*>,188d7d34
2117,client <*> leave bssid <*>,188d7d34
2170,client <*> leave bssid <*>,188d7d34
2270,client <*> leave bssid <*>,188d7d34
2322,client <*> leave bssid <*>,188d7d34
2400,client <*> leave bssid <*>,188d7d34
2408,client <*> leave bssid <*>,188d7d34
2452,client <*> leave bssid <*>,188d7d34
2469,client <*> leave bssid <*>,188d7d34
2474,client <*> leave bssid <*>,188d7d34
2485,client <*> leave bssid <*>,188d7d34
2533,client <*> leave bssid <*>,188d7d34
2599,client <*> leave bssid <*>,188d7d34
2615,client <*> leave bssid <*>,188d7d34
2784,client <*> leave bssid <*>,188d7d34
2963,client <*> leave bssid <*>,188d7d34
3330,client <*> leave bssid <*>,188d7d34
3677,client <*> leave bssid <*>,188d7d34
3743,client <*> leave bssid <*>,188d7d34
3763,client <*> leave bssid <*>,188d7d34
3852,client <*> leave bssid <*>,188d7d34
4002,client <*> leave bssid <*>,188d7d34
4043,client <*> leave bssid <*>,188d7d34
4084,client <*> leave bssid <*>,188d7d34
2,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
8,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
24,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
53,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
59,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
228,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
248,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
251,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
259,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
262,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
316,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
361,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
373,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
498,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
501,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
547,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
563,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
564,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
675,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
711,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
739,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
743,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
774,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
782,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
790,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
791,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
794,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
806,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
810,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
882,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
907,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
996,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1000,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1010,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1044,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1045,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1102,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1120,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1180,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1183,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1265,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1270,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1273,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1286,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1288,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1364,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1375,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1383,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1427,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1466,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1486,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1494,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1530,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1531,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1534,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1588,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1614,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1624,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1663,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1664,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1671,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1673,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1677,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1700,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1711,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1725,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1747,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1776,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1782,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1842,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1865,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1875,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1880,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1886,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1890,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1894,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1903,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1917,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1923,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1928,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1932,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1974,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
1977,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2022,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2038,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2041,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2046,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2049,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2054,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2060,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2067,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2069,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2168,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2183,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2192,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2193,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2207,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2271,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2274,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2301,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2306,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2307,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2338,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2342,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2368,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2381,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2386,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2521,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2544,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2545,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2562,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2578,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2676,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2687,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2697,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2699,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2702,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2711,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2718,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2731,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2733,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2767,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2905,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
2974,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3163,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3189,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3227,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3260,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3577,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3589,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3590,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3603,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3604,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3610,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3612,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3616,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3620,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3629,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3640,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3678,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3706,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3708,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3712,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3719,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3744,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3747,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3779,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3803,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3873,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3881,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3887,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3890,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3894,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3898,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3912,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3931,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3933,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3937,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3942,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3946,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3957,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3959,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3965,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
4044,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
4047,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
4069,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
4070,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
4074,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
4079,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
4082,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
4089,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
4092,<*> Client(<*>) <*> Trigger = <*>,3eb580e4
3,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
6,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
29,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
56,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
80,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
91,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
117,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
189,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
191,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
241,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
250,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
260,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
291,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
324,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
370,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
408,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
451,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
485,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
499,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
511,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
539,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
561,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
602,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
614,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
631,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
658,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
663,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
666,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
699,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
735,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
813,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
831,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
846,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
855,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
868,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
922,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
925,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
936,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
954,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
988,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
998,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
1023,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
1033,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
1082,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
1085,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
1105,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
1131,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
1135,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
1139,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
1181,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
1201,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
1243,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
1258,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
1267,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
1283,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
1298,cli (<*>) <*> join <*> BSS <*>,8bdb86ee
