LineId,Day,Month,Date,Time,Year,Level,Component,Line,Content,EventId,EventTemplate,ParameterList
1,Wed,Jul,30,13:33:12,2025,daemon.err,[mapd],[parse_ap_associated_clients_type_tlv][6629]:,new client mac 56:e4:ec:e2:b9:33 created on bss 26:0b:2a:df:e9:c5,f73f46e9,new client mac <*> created on bss <*>,"['56:e4:ec:e2:b9:33', '26:0b:2a:df:e9:c5']"
2,Wed,Jul,30,13:33:14,2025,daemon.err,[mapd],[cent_str_cu_monitor_timeout][2191]:,"[CENT_STEER] Channel 1 is Overload:  Avg CU=86 > CU OL threshold=80, CU Sum=518 for 6 samples",734480a4,"<*> Channel <*> is Overload: Avg CU=<*> > CU OL threshold=<*>, CU Sum=<*> for <*> samples","['[CENT_STEER]', '1', '86 >', '80', '518', '6']"
3,Wed,Jul,30,13:33:14,2025,daemon.err,[mapd],[ap_roam_algo_offloading_cand_cent_str][1086]:,[CENT_STEER]  Associated radio channel 161 is not overload yet,25589ad0,<*> Associated radio channel <*> is not overload yet,"['[CENT_STEER]', '161']"
4,Wed,Jul,30,13:33:14,2025,daemon.err,[mapd],[ap_roam_algo_offloading_cand_cent_str][1086]:,[CENT_STEER]  Associated radio channel 1 is not overload yet,25589ad0,<*> Associated radio channel <*> is not overload yet,"['[CENT_STEER]', '1']"
5,Wed,Jul,30,13:33:14,2025,daemon.err,[mapd],[ap_roam_algo_offloading_cand_cent_str][1086]:,[CENT_STEER]  Associated radio channel 161 is not overload yet,25589ad0,<*> Associated radio channel <*> is not overload yet,"['[CENT_STEER]', '161']"
6,Wed,Jul,30,13:33:14,2025,daemon.err,[mapd],[ap_roam_algo_offloading_cand_cent_str][1086]:,[CENT_STEER]  Associated radio channel 161 is not overload yet,25589ad0,<*> Associated radio channel <*> is not overload yet,"['[CENT_STEER]', '161']"
7,Wed,Jul,30,13:33:14,2025,daemon.err,[mapd],[ap_roam_algo_offloading_cand_cent_str][1086]:,[CENT_STEER]  Associated radio channel 161 is not overload yet,25589ad0,<*> Associated radio channel <*> is not overload yet,"['[CENT_STEER]', '161']"
8,Wed,Jul,30,13:33:14,2025,daemon.err,[mapd],[ap_roam_algo_offloading_cand_cent_str][1086]:,[CENT_STEER]  Associated radio channel 161 is not overload yet,25589ad0,<*> Associated radio channel <*> is not overload yet,"['[CENT_STEER]', '161']"
9,Wed,Jul,30,13:33:14,2025,daemon.err,[mapd],[ap_roam_algo_offloading_cand_cent_str][1086]:,[CENT_STEER]  Associated radio channel 161 is not overload yet,25589ad0,<*> Associated radio channel <*> is not overload yet,"['[CENT_STEER]', '161']"
10,Wed,Jul,30,13:33:14,2025,daemon.err,[mapd],[ap_roam_algo_offloading_cand_cent_str][1086]:,[CENT_STEER]  Associated radio channel 1 is not overload yet,25589ad0,<*> Associated radio channel <*> is not overload yet,"['[CENT_STEER]', '1']"
11,Wed,Jul,30,13:33:14,2025,daemon.err,[mapd],[ap_roam_algo_offloading_cand_cent_str][1086]:,[CENT_STEER]  Associated radio channel 161 is not overload yet,25589ad0,<*> Associated radio channel <*> is not overload yet,"['[CENT_STEER]', '161']"
12,Wed,Jul,30,13:33:14,2025,daemon.err,[mapd],[ap_roam_algo_offloading_cand_cent_str][1086]:,[CENT_STEER]  Associated radio channel 161 is not overload yet,25589ad0,<*> Associated radio channel <*> is not overload yet,"['[CENT_STEER]', '161']"
13,Wed,Jul,30,13:33:14,2025,daemon.err,[mapd],[ap_roam_algo_offloading_cand_cent_str][1086]:,[CENT_STEER]  Associated radio channel 161 is not overload yet,25589ad0,<*> Associated radio channel <*> is not overload yet,"['[CENT_STEER]', '161']"
14,Wed,Jul,30,13:33:14,2025,daemon.err,[mapd],[ap_roam_algo_offloading_cand_cent_str][1086]:,[CENT_STEER]  Associated radio channel 161 is not overload yet,25589ad0,<*> Associated radio channel <*> is not overload yet,"['[CENT_STEER]', '161']"
15,Wed,Jul,30,13:33:14,2025,daemon.err,[mapd],[ap_roam_algo_offloading_cand_cent_str][1086]:,[CENT_STEER]  Associated radio channel 161 is not overload yet,25589ad0,<*> Associated radio channel <*> is not overload yet,"['[CENT_STEER]', '161']"
16,Wed,Jul,30,13:33:14,2025,daemon.err,[mapd],[ap_roam_algo_offloading_cand_cent_str][1086]:,[CENT_STEER]  Associated radio channel 1 is not overload yet,25589ad0,<*> Associated radio channel <*> is not overload yet,"['[CENT_STEER]', '1']"
17,Wed,Jul,30,13:33:14,2025,daemon.err,[mapd],[cent_str_cu_monitor_timeout][2219]:,[CENT_STEER] channel utils monitor: 1,c32ea2b3,<*> channel utils monitor: <*>,"['[CENT_STEER]', '1']"
18,Wed,Jul,30,13:33:14,2025,daemon.err,[mapd],[ap_roam_algo_dg_cand_cent_str][352]:,[CENT_STEER] Channel = 1 is OL,42934e80,<*> Channel = <*> is OL,"['[CENT_STEER]', '1']"
19,Wed,Jul,30,13:33:14,2025,daemon.err,[mapd],[ap_roam_algo_dg_cand_cent_str][352]:,[CENT_STEER] Channel = 1 is OL,42934e80,<*> Channel = <*> is OL,"['[CENT_STEER]', '1']"
20,Wed,Jul,30,13:33:14,2025,daemon.err,[mapd],[ap_roam_algo_dg_cand_cent_str][352]:,[CENT_STEER] Channel = 1 is OL,42934e80,<*> Channel = <*> is OL,"['[CENT_STEER]', '1']"
21,Wed,Jul,30,13:33:15,2025,daemon.err,[mapd],[ap_roam_algo_dg_cand_cent_str][352]:,[CENT_STEER] Channel = 1 is OL,42934e80,<*> Channel = <*> is OL,"['[CENT_STEER]', '1']"
22,Wed,Jul,30,13:33:19,2025,daemon.err,[mapd],[topo_srv_update_assoc_client_info][9317]:,delete sta(9e:09:55:c3:4c:28) in assoc_clients,35c7b081,delete <*> in assoc_clients,['sta(9e:09:55:c3:4c:28)']
23,Wed,Jul,30,13:33:19,2025,daemon.crit,[mapd],[client_mon_handle_local_leave][491]:,client (9e:09:55:c3:4c:28) leave bssid (26:0b:2a:df:e9:81),188d7d34,client <*> leave bssid <*>,"['(9e:09:55:c3:4c:28)', '(26:0b:2a:df:e9:81)']"
24,Wed,Jul,30,13:33:20,2025,daemon.crit,[mapd],[client_mon_handle_remote_leave][657]:,"[CENT_STEER] Got remote client LEAVE notific for client 82:9f:9a:e4:ac:07, that has not left a local/remote bss 24:0b:2a:bf:e9:c5",7b5e1cd2,<*> Got remote client LEAVE notific for client <*> that has not left a local/remote bss <*>,"['[CENT_STEER]', '82:9f:9a:e4:ac:07,', '24:0b:2a:bf:e9:c5']"
25,Wed,Jul,30,13:33:20,2025,daemon.alert,[p1905],[check_recv_mid][3228]:,drop mid(a61c) aldev_mac(24:0b:2a:bf:e9:c4) msgtype=0x0001,2d662a75,drop <*> <*> msgtype=0x<*>,"['mid(a61c) aldev_mac(24:0b:2a:bf:e9:c4)', '0001']"
26,Wed,Jul,30,13:33:20,2025,daemon.crit,[mapd],[clear_invalid_client_info][6452]:,Deleted assoc_client: 82:9f:9a:e4:ac:07 from dev: 24:0b:2a:bf:e9:c4,36adfe94,Deleted assoc_client: <*> from dev: <*>,"['82:9f:9a:e4:ac:07', '24:0b:2a:bf:e9:c4']"
27,Wed,Jul,30,13:33:20,2025,daemon.crit,[mapd],[client_mon_handle_remote_join][572]:,cli (207) 82:9f:9a:e4:ac:07 join remote BSS 26:0b:2a:cf:e9:c5,8bdb86ee,cli (<*>) <*> join <*> BSS <*>,"['207', '82:9f:9a:e4:ac:07', 'remote', '26:0b:2a:cf:e9:c5']"
28,Wed,Jul,30,13:33:20,2025,daemon.alert,[p1905],[check_recv_mid][3228]:,drop mid(a621) aldev_mac(24:0b:2a:bf:e9:c4) msgtype=0x0001,2d662a75,drop <*> <*> msgtype=0x<*>,"['mid(a621) aldev_mac(24:0b:2a:bf:e9:c4)', '0001']"
