LineId,Day,Month,Date,Time,Year,Level,Component,Line,Content,EventId,EventTemplate,ParameterList
1,Fri,Aug,1,12:03:23,2025,daemon.warn,dnsmasq-dhcp[926],not,giving name vthomeap6.lan to the DHCP lease of 192.168.13.160 because the name exists in /tmp/hosts/dhcp.cfg01411c with address 192.168.13.1,1541e39a,giving name <*> to the DHCP lease of <*> because the name exists in /tmp/hosts/dhcp.cfg01411c with address <*>,"['vthomeap6.lan', '192.168.13.160', '192.168.13.1']"
2,Fri,Aug,1,12:03:23,2025,daemon.warn,dnsmasq-dhcp[926],not,giving name vthomeap6 to the DHCP lease of 192.168.13.160 because the name exists in /tmp/hosts/dhcp.cfg01411c with address 192.168.13.1,1541e39a,giving name <*> to the DHCP lease of <*> because the name exists in /tmp/hosts/dhcp.cfg01411c with address <*>,"['vthomeap6', '192.168.13.160', '192.168.13.1']"
3,Fri,Aug,1,12:03:27,2025,daemon.info,dnsmasq-dhcp[926],DHCPREQUEST(br-lan),192.168.100.212 c2:bc:c6:69:3c:9a,07a7d844,<*> c2:bc:c6:<*>:3c:9a,"['192.168.100.212', '69']"
4,Fri,Aug,1,12:03:27,2025,daemon.info,dnsmasq-dhcp[926],DHCPNAK(br-lan),192.168.100.212 c2:bc:c6:69:3c:9a wrong address,783333bd,<*> <*> wrong address,['192.168.100.212 c2:bc:c6:69:3c:9a']
5,Fri,Aug,1,12:03:29,2025,daemon.info,dnsmasq-dhcp[926],DHCPREQUEST(br-lan),192.168.13.227 c2:bc:c6:69:3c:9a,07a7d844,<*> c2:bc:c6:<*>:3c:9a,"['192.168.13.227', '69']"
6,Fri,Aug,1,12:03:29,2025,daemon.info,dnsmasq-dhcp[926],DHCPACK(br-lan),192.168.13.227 c2:bc:c6:69:3c:9a iPhone,dd94ac01,<*> c2:bc:c6:<*>:3c:9a iPhone,"['192.168.13.227', '69']"
7,Fri,Aug,1,12:03:29,2025,daemon.warn,dnsmasq-dhcp[926],not,giving name vthomeap6.lan to the DHCP lease of 192.168.13.160 because the name exists in /tmp/hosts/dhcp.cfg01411c with address 192.168.13.1,1541e39a,giving name <*> to the DHCP lease of <*> because the name exists in /tmp/hosts/dhcp.cfg01411c with address <*>,"['vthomeap6.lan', '192.168.13.160', '192.168.13.1']"
8,Fri,Aug,1,12:03:29,2025,daemon.warn,dnsmasq-dhcp[926],not,giving name vthomeap6 to the DHCP lease of 192.168.13.160 because the name exists in /tmp/hosts/dhcp.cfg01411c with address 192.168.13.1,1541e39a,giving name <*> to the DHCP lease of <*> because the name exists in /tmp/hosts/dhcp.cfg01411c with address <*>,"['vthomeap6', '192.168.13.160', '192.168.13.1']"
9,Fri,Aug,1,12:03:52,2025,daemon.info,dnsmasq-dhcp[926],DHCPREQUEST(br-lan),192.168.13.10 ce:c8:9d:82:c5:1e,5fe665a4,<*> ce:c8:9d:<*>:c5:1e,"['192.168.13.10', '82']"
10,Fri,Aug,1,12:03:52,2025,daemon.info,dnsmasq-dhcp[926],DHCPACK(br-lan),192.168.13.10 ce:c8:9d:82:c5:1e Watch,3c9e700b,<*> ce:c8:9d:<*>:c5:1e Watch,"['192.168.13.10', '82']"
