EventId,EventTemplate,Occurrences
16b1db6b,[318] wdev_query_rsp_handle: dev_type = <*> mac = <*> ifname = <*>,8
5213552d,[5079] wapp_reset_backhaul_config,6
99caf5a5,[449] misc_cap <*> max_num_of_cli = 64 max_num_of_bss = 32 num_of_bss = 8 max_num_of_block_cli = 128,6
a343b283,"<*> <*> <*> tx_stream = 2, rx_stream = 2, <*> = <*> <*> = <*> <*> = <*>",12
709574fb,"[405] vht_cap <*> sup_tx_mcs[]= fa ff sup_rx_mcs[] = 250 255 tx_stream = 2, rx_stream = 2 sgi_80 = 1, sgi_160 = 1 vht160 = 0, vht8080 = 0 su_bf = 1, mu_bf = 1",6
da6ee9e7,[4649] [1;31m[DPP ][0mWF6:WAPPD: Data interprate by WAPP,12
e9b7b47c,[968] chn_list: <*> op_class = <*> op_ch = <*> band = <*> ch_list_num = <*> non_op_chn_num = <*> dl_mcs = <*>,6
5717eadb,<*> op_class: <*> num_of_op_class = <*>,12
2a17bfc5,[1062] bss_info: <*> table idx = <*> ssid = <*> SsidLen = <*> map role = 32 Bssid = <*> Identifier = <*>,6
218140be,[2900] driver_wnm_btm_onoff,6
bb73508f,[2915] driver_wnm_btm_onoff: cmd->command_body[0] = 1,6
dad5817b,[2845] driver_rrm_onoff,6
b4ec0a05,[377] [TOPO] port <*> DOWN,6
d3acc15a,"[329] [TOPO] root leaf not exist, could not update topology tree",6
4ac63523,[368] switch data not found by port index(3),1
d2ec3709,[2048] DB NAME=./client_db.txt,1
8808158f,[2055] Man Daemon XX version: v<*>,1
d0e2e56a,<*> Succesfully connected to <*>,2
48665e06,[1047] alloc 1905 cli sock_buf :15360 success!,1
945c9bb4,"[9784] receive LIB_SYNC_RECV_BUF_SIZE (notify len:397, peer len:15360) from mapd, own real len:20480, default len:20480",1
00874952,"[1613] _1905_SYNC_RECV_BUF_SIZE_RSP_EVENT send to mapd success, change_len:20480, rsp:1",1
36375d30,[2100] Wapp wireless interface init success,1
4d7dca70,[1345] LowRSSIAPSteerEdge_RE=24,1
f87f8ade,[1338] LowRSSIAPSteerEdge_root =21,1
5ad9a4dc,[1147] RSSISteeringEdge_DG=24,1
9e6f6952,[1154] RSSISteeringEdge_UG=14,1
f14f6e9a,[1082] CUOverloadTh_2G=80,1
962a28b9,[1089] CUOverloadTh_5G_L=85,1
31b773f5,[1096] CUOverloadTh_5G_H =85,1
7ff37505,[1125] CUOverloadTh_6G=80,1
95735626,[1825] MetricRepIntv=10,1
ebf75188,[1557] <*>,27
dbbcbbdd,[1592] MetricPolicyRcpi_5GL=90,1
c1b4a3df,[1627] MetricPolicyRcpi_5GH=90,1
4df61f07,[1665] MetricPolicyRcpi_6G=90,1
b32edbc0,[1323] ActivityThreshold=3000,1
97da8368,[1265] BTMStrForbidTime=30,1
ef9e6ebc,[1273] BTMStrSuccessForbidTime=60,1
20fb42fe,[1564] MetricPolicyHys_24G=5,1
74bebbf7,[1599] MetricPolicyHys_5GL=5,1
a76a5fe0,[1634] MetricPolicyHys_5GH=5,1
bf69ae14,[1316] Btm_Retry_Time = 2,1
558ce955,[1103] CUSafetyTh_2G=80,1
5bf226a9,[1110] CUSafetyTh_5G_L=85,1
623a2284,[1117] CUSafetyh_5G_H=85,1
c79b82e0,[1288] MinSteEVENTetryTime=5,1
a73006dd,[1295] MaxSteEVENTetryTime=25,1
d2d3a774,[1162] force_roam_rssi_th=-87,1
45b498ed,[1171] force_steerdg_rssi_th=-87,1
46c5305e,[1222] pause_cent_str_failed_in_dec=0,1
b13419c1,"[70] Failed to open DB file './client_db.txt', EVENTor: No such file or directory",1
60707c79,[5848] one 1905 device created,5
27f745b5,"[18587] cannot find suitable almac, use orginal one",1
5cb76bc9,[18610] eth0 is eth interface; enable all tx rx,1
32513e06,[5816] topo_srv_init_own_1905_info,1
13b6309f,<*> peer_radio not found corresponding to identifier,14
5236b2e2,[1286] [CH_PLANNING] check status of autoconfig = <*>,52
32bca8bd,[6199] radio (4d:41:50:35:47:4c) orignal_bw(2) opclass(128) ch(60),1
5b9b2709,[6199] radio (4d:41:50:32:34:47) orignal_bw(0) opclass(81) ch(2),1
bb8d126f,[7344] mapd_get_channel_scan_capab_from_driver 7344 <*> <*>,6
47dc1589,"[3688] [1;36m wapp_dev_list_lookup_by_band_and_type, got target_wdev <*> ifidx <*> [0m",28
d983bdc6,[7364] mapd_get_channel_scan_capab_from_driver 7364: 2G,1
7e3c275c,<*> ------------->,2
dc9b4647,[5091] map_build_cac_cap 5091,1
3acf920c,"[5127] ptr 65, map_event->length-65",1
cf9442e6,[155] MY device CAC Mode = 0,2
027717c3,CACCapab - hexdump(len=65): 56 4e 01 4d 41 50 35 47 4c 02 00 00 00 41 07 76 04 34 38 3c 40 79 05 64 68 6c 70 74 77 02 34 3c 7a 02 64 6c 78 02 38 40 7b 02 68 70 80 02 3a 6a 00 00 02 8a 04 79 01 78 7a 01 74 7b 01 78 80 01 7a,1
2c36073c,R2ApCap - hexdump(len=4): 06 00 68 02,1
85bce292,[10038] [TOPO] chnl Pref for radio <*> <*> <*> <*> MAC <*>,26
a6d4b3a8,[5687] map_send_ch_list_dfs_info,26
c157ceb6,[6608] WAPP_USER_GET_METRIC_REP_INTERVAL_CAP,26
a9d8dd49,[5176] map_send_metric_reporting_capability_msg,26
24fb2571,[5143] map_build_metric_reporting_info,26
1ea6f054,[5151] map_build_metric_reporting_info 60,26
a5c5d8e7,[8668] dev->metric_rep_interval: 60,26
379ef551,[10418] wf6 tlv handling sr mode 0,26
769e629c,[4943] map_send_ap_spt_reuse_req_msg,26
7129941c,[2792] Solicited WAPP_AP_SPT_REUSE_REQ from WAPP: CONSUME,26
2f9db5f6,[8785] radio_idx <*>,24
acd7d633,"[8795] Bootup run 0, band 0",24
ddc27d9d,[13504] radio ID <*> <*> <*> <*> Status: NOT CONFIGURED,6
a73f0d09,[710] [1;31m[DPP ][0mMark Config 0 as valid,1
c9e89208,[126] BH SSID = VIETTEL_5_240B2AAFB8B8,23
6da4631f,[7626] device role is 2,1
37d74577,[7888] mode=1,1
c21ef3f8,[7893] router mode,1
ae78e196,[7515] lan_interface[0]=eth0,1
f3a9716e,[7621] wan interface is eth1,1
36c3411b,"[6204] user prefEVENTed channel 0 , band <*>",3
f6cdc6e1,[7858] ChPlanningInitTimeout=120,1
d4f42ff8,[7947] NtwrkOptConnectWaitTime=60,1
7929bf4a,[7953] NtwrkOptDisconnectWaitTime=45,1
4319c6d5,<*> <*> = 120,2
52ef2feb,[7838] 2G ScanThreshold=-88,1
ceb6e9d9,[7844] 5G ScanThreshold=-88,1
ba10a6f2,[7851] 6G ScanThreshold=-88,1
9259d348,"[7649] Channel Planning R2 Enabled =0 , R1 ch_planning_enabled 0",1
8d7d89dc,[7906] NetworkOptimizationEnabled=0,1
b98183eb,<*> <*> = 1,2
813ceda8,[7875] DhcpCtl=1,1
3fc18bc5,[7877] enable,1
f3c57fb9,[7884] dhcp_ctl in config file is : enable !,1
1fbe131d,[8011] ThirdPartyConnection = 0,1
0d5835fb,[8068] Default max_allowed_scan = 5,1
82b7ea95,[7960] NtwrkOptPostCACTriggerTime=30,1
0f672500,[7912] NetworkOptPrefer5Gover2G=0,1
dfe2fcda,[7918] NetworkOptPrefer5Gover2GRetryCnt=0,1
