SessionId,EventSequence,Anomaly
6370,['53b8dc98'],1.0
6376,['42934e80'],1.0
6652,['53b8dc98'],1.0
6653,['c32ea2b3'],1.0
6664,['34dff5ba'],1.0
6676,['34dff5ba'],1.0
6794,['c21968a3'],1.0
6851,['b631d57c'],1.0
6858,['cb7433c3'],1.0
6943,['6c988de0'],1.0
7041,['85db3901'],1.0
7070,['6be56b9e'],1.0
7097,['7f9f4c03'],1.0
7100,['599db117'],1.0
7157,['25589ad0'],1.0
7168,['18076c54'],1.0
7296,['25589ad0'],1.0
7357,['410d1073'],1.0
7446,['25589ad0'],1.0
7449,['25589ad0'],1.0
7472,['25589ad0'],1.0
7549,['25589ad0'],1.0
7646,['25589ad0'],1.0
7713,['24e524f6'],1.0
7720,['598531d7'],1.0
7743,['0b056294'],1.0
7744,['25589ad0'],1.0
7777,['2d662a75'],1.0
7799,['fefcd600'],1.0
7863,['25589ad0'],1.0
7880,['25589ad0'],1.0
7911,['df18c1e5'],1.0
8017,['fefcd600'],1.0
8018,['fefcd600'],1.0
8029,['25589ad0'],1.0
8057,['25589ad0'],1.0
8139,['f406ee9e'],1.0
8225,['abde7035'],1.0
8234,['cd667c89'],1.0
8251,['cb7433c3'],1.0
8302,['654eb92d'],1.0
8304,['b1660f1e'],1.0
8440,['2ca40681'],1.0
8445,['8d2b6ff2'],1.0
8571,['6d3c53ec'],1.0
8575,['6d3c53ec'],1.0
8689,['953038c2'],1.0
8697,['080ecf98'],1.0
8698,['080ecf98'],1.0
8882,['6d3c53ec'],1.0
9000,['bfafdea5'],1.0
9030,['6d3c53ec'],1.0
