SessionId,EventSequence
1,['188d7d34']
2,['3eb580e4']
3,['8bdb86ee']
4,['2d662a75']
5,['f73f46e9']
6,['8bdb86ee']
7,['2d662a75']
8,['3eb580e4']
9,['b78a17b6']
10,['2d662a75']
11,['f73f46e9']
12,['7b5e1cd2']
13,['36adfe94']
14,['0c0d7679']
15,['2d662a75']
16,['df18c1e5']
17,['2d662a75']
18,['df18c1e5']
19,['53b8dc98']
20,['55e56737']
21,['902a7155']
22,['2d662a75']
23,['df18c1e5']
24,['3eb580e4']
25,['a79ab087']
26,['35c7b081']
27,['188d7d34']
28,['d5c1bbc9']
29,['8bdb86ee']
30,['8d1d00ed']
31,['2d662a75']
32,['8d1d00ed']
33,['2d662a75']
34,['8d1d00ed']
35,['2d662a75']
36,['42934e80']
37,['42934e80']
38,['0c0d7679']
39,['2d662a75']
40,['df18c1e5']
41,['d5c1bbc9']
42,['b3e00c7f']
43,['104250db']
44,['2d662a75']
45,['a79ab087']
46,['8b0bff7d']
47,['7b5e1cd2']
48,['2d662a75']
49,['36adfe94']
50,['7b5e1cd2']
51,['2d662a75']
52,['36adfe94']
53,['3eb580e4']
54,['a79ab087']
55,['2d662a75']
56,['8bdb86ee']
57,['2d662a75']
58,['f73f46e9']
59,['3eb580e4']
60,['b78a17b6']
61,['42934e80']
62,['410d1073']
63,['2fba6b9b']
64,['2d662a75']
65,['df18c1e5']
66,['d5c1bbc9']
67,['b3e00c7f']
68,['104250db']
69,['2d662a75']
70,['a79ab087']
71,['2fba6b9b']
72,['42934e80']
73,['a79ab087']
74,['2d662a75']
75,['df18c1e5']
76,['35c7b081']
77,['188d7d34']
78,['0c0d7679']
79,['409a28b1']
80,['8bdb86ee']
81,['2d662a75']
82,['f73f46e9']
83,['42934e80']
84,['2d662a75']
85,['df18c1e5']
86,['2d662a75']
87,['df18c1e5']
88,['42934e80']
89,['0c0d7679']
90,['8b0bff7d']
91,['8bdb86ee']
92,['2d662a75']
93,['f73f46e9']
94,['7b5e1cd2']
95,['2d662a75']
96,['36adfe94']
97,['42934e80']
98,['2d662a75']
99,['df18c1e5']
100,['2d662a75']
101,['df18c1e5']
102,['2d662a75']
103,['df18c1e5']
104,['7b5e1cd2']
105,['2d662a75']
106,['36adfe94']
107,['35c7b081']
108,['188d7d34']
109,['a79ab087']
110,['2d662a75']
111,['0c0d7679']
112,['2d662a75']
113,['df18c1e5']
114,['2d662a75']
115,['df18c1e5']
116,['42934e80']
117,['8bdb86ee']
118,['2d662a75']
119,['f73f46e9']
120,['42934e80']
121,['8d1d00ed']
122,['2d662a75']
123,['8d1d00ed']
124,['2d662a75']
125,['2d662a75']
126,['8d1d00ed']
127,['8d1d00ed']
128,['2d662a75']
129,['8d1d00ed']
130,['2d662a75']
131,['8d1d00ed']
132,['2d662a75']
133,['8d1d00ed']
134,['2d662a75']
135,['2d662a75']
136,['8d1d00ed']
137,['8d1d00ed']
138,['2d662a75']
139,['734480a4']
140,['25589ad0']
141,['25589ad0']
142,['25589ad0']
143,['25589ad0']
144,['25589ad0']
145,['25589ad0']
146,['25589ad0']
147,['53b8dc98']
148,['25589ad0']
149,['25589ad0']
150,['25589ad0']
151,['25589ad0']
152,['25589ad0']
153,['25589ad0']
154,['25589ad0']
155,['25589ad0']
156,['25589ad0']
157,['25589ad0']
158,['25589ad0']
159,['c32ea2b3']
160,['8d1d00ed']
161,['2d662a75']
162,['8d1d00ed']
163,['2d662a75']
164,['8d1d00ed']
165,['2d662a75']
166,['8d1d00ed']
167,['2d662a75']
168,['8d1d00ed']
169,['2d662a75']
170,['62cb945c']
171,['c514dc55']
172,['8d1d00ed']
173,['2d662a75']
174,['8d1d00ed']
175,['2d662a75']
176,['8b0bff7d']
177,['8d1d00ed']
178,['2d662a75']
179,['d721f9a5']
180,['2d662a75']
181,['df18c1e5']
182,['7b5e1cd2']
183,['2d662a75']
184,['36adfe94']
185,['0c0d7679']
186,['2d662a75']
187,['df18c1e5']
188,['d5c1bbc9']
189,['8bdb86ee']
190,['d5c1bbc9']
191,['8bdb86ee']
192,['d721f9a5']
193,['2d662a75']
194,['df18c1e5']
195,['a82c6d7a']
196,['2d662a75']
197,['df18c1e5']
198,['0c0d7679']
199,['2d662a75']
200,['df18c1e5']
201,['d721f9a5']
202,['2d662a75']
203,['df18c1e5']
204,['902a7155']
205,['410d1073']
206,['a79ab087']
207,['2d662a75']
208,['42934e80']
209,['2d662a75']
210,['df18c1e5']
211,['2d662a75']
212,['df18c1e5']
213,['42934e80']
214,['2d662a75']
215,['df18c1e5']
216,['2d662a75']
217,['df18c1e5']
218,['42934e80']
219,['2d662a75']
220,['df18c1e5']
221,['409a28b1']
222,['409a28b1']
223,['2d662a75']
224,['df18c1e5']
225,['a79ab087']
226,['2d662a75']
227,['df18c1e5']
228,['3eb580e4']
229,['b78a17b6']
230,['2d662a75']
231,['df18c1e5']
232,['0c0d7679']
233,['d5c1bbc9']
234,['b3e00c7f']
235,['104250db']
236,['35c7b081']
237,['188d7d34']
238,['2d662a75']
239,['a79ab087']
240,['d5c1bbc9']
241,['8bdb86ee']
242,['e38b04c2']
243,['45c81714']
244,['c514dc55']
245,['d721f9a5']
246,['35c7b081']
247,['188d7d34']
248,['3eb580e4']
249,['2d662a75']
250,['8bdb86ee']
251,['3eb580e4']
252,['b78a17b6']
253,['f73f46e9']
254,['53b8dc98']
255,['c514dc55']
256,['d721f9a5']
257,['35c7b081']
258,['188d7d34']
259,['3eb580e4']
260,['8bdb86ee']
261,['2d662a75']
262,['3eb580e4']
263,['b78a17b6']
264,['f73f46e9']
265,['2d662a75']
266,['df18c1e5']
267,['2d662a75']
268,['df18c1e5']
269,['2d662a75']
270,['df18c1e5']
271,['0c0d7679']
272,['2d662a75']
273,['df18c1e5']
274,['2d662a75']
275,['df18c1e5']
276,['d5c1bbc9']
277,['b3e00c7f']
278,['104250db']
279,['2d662a75']
280,['a79ab087']
281,['2d662a75']
282,['df18c1e5']
283,['2d662a75']
284,['df18c1e5']
285,['2d662a75']
286,['df18c1e5']
287,['2d662a75']
288,['df18c1e5']
289,['35c7b081']
290,['188d7d34']
291,['8bdb86ee']
292,['2d662a75']
293,['f73f46e9']
294,['2d662a75']
295,['df18c1e5']
296,['2d662a75']
297,['df18c1e5']
298,['2d662a75']
299,['df18c1e5']
300,['53b8dc98']
301,['55e56737']
302,['902a7155']
303,['0c0d7679']
304,['2d662a75']
305,['df18c1e5']
306,['2d662a75']
307,['df18c1e5']
308,['0c0d7679']
309,['2d662a75']
310,['df18c1e5']
311,['902a7155']
312,['7b5e1cd2']
313,['36adfe94']
314,['2d662a75']
315,['df18c1e5']
316,['3eb580e4']
317,['410d1073']
318,['2fba6b9b']
319,['2d662a75']
320,['df18c1e5']
321,['35c7b081']
322,['188d7d34']
323,['d5c1bbc9']
324,['8bdb86ee']
325,['8d1d00ed']
326,['2d662a75']
327,['2d662a75']
328,['8d1d00ed']
329,['2d662a75']
330,['8d1d00ed']
331,['2d662a75']
332,['8d1d00ed']
333,['2d662a75']
334,['8d1d00ed']
335,['8d1d00ed']
336,['2d662a75']
337,['8d1d00ed']
338,['2d662a75']
339,['2d662a75']
340,['8d1d00ed']
341,['8d1d00ed']
342,['2d662a75']
343,['8d1d00ed']
344,['2d662a75']
345,['8d1d00ed']
346,['2d662a75']
347,['8d1d00ed']
348,['2d662a75']
349,['8d1d00ed']
350,['2d662a75']
351,['8d1d00ed']
352,['2d662a75']
353,['8d1d00ed']
354,['2d662a75']
355,['a79ab087']
356,['0c0d7679']
357,['2d662a75']
358,['df18c1e5']
359,['8d1d00ed']
360,['2d662a75']
361,['3eb580e4']
362,['2d662a75']
363,['df18c1e5']
364,['2d662a75']
365,['df18c1e5']
366,['2d662a75']
367,['df18c1e5']
368,['35c7b081']
369,['188d7d34']
370,['8bdb86ee']
371,['2d662a75']
372,['f73f46e9']
373,['3eb580e4']
374,['b78a17b6']
375,['2d662a75']
376,['df18c1e5']
377,['409a28b1']
378,['2d662a75']
379,['df18c1e5']
380,['2fba6b9b']
381,['2d662a75']
382,['df18c1e5']
383,['2d662a75']
384,['df18c1e5']
385,['2d662a75']
386,['df18c1e5']
387,['2d662a75']
388,['df18c1e5']
389,['2d662a75']
390,['df18c1e5']
391,['2d662a75']
392,['df18c1e5']
393,['2d662a75']
394,['df18c1e5']
395,['0c0d7679']
396,['42934e80']
